,sequence,session_id,speaker,content,Human,AI,Utterance ID
1131,1031,TalkBack.Year1.Benson.Spring.011320.xlsx,T,So you found different ways to fill up,,Revoicing,633
1132,1032,TalkBack.Year1.Benson.Spring.011320.xlsx,T,Interesting interesting interesting,,,634
1133,1033,TalkBack.Year1.Benson.Spring.011320.xlsx,T,Anyone disagree or see how they did that,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,635
1134,1034,TalkBack.Year1.Benson.Spring.011320.xlsx,T,What would that fraction be,Pressing for Accuracy,Pressing for Accuracy,636
1135,1035,TalkBack.Year1.Benson.Spring.011320.xlsx,T,Thats confusing isnt it,Keeping Everyone Together,,637
1136,1036,TalkBack.Year1.Benson.Spring.011320.xlsx,T,If you had to name that fraction that would be hard to do wouldnt it,Keeping Everyone Together,,638
1137,1037,TalkBack.Year1.Benson.Spring.011320.xlsx,S,Yeah,,,639
1138,1038,TalkBack.Year1.Benson.Spring.011320.xlsx,T,Because theyre not equal parts there,,,640
1139,1039,TalkBack.Year1.Benson.Spring.011320.xlsx,T,That would be tricky,,,641
1140,1040,TalkBack.Year1.Benson.Spring.011320.xlsx,T,All right,,,642
1144,1041,TalkBack.Year1.Benson.Spring.011320.xlsx,T,Please make sure you grab a homework,,,643
1145,1042,TalkBack.Year1.Benson.Spring.011320.xlsx,T,You need a template for homework,,,644
1146,1043,TalkBack.Year1.Benson.Spring.011320.xlsx,T,So you may take a template home,,,645
1147,1044,TalkBack.Year1.Benson.Spring.011320.xlsx,T,You may take a template home but you have to make sure it to be back,,,646
1148,1045,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right you ready,Keeping Everyone Together,,0
1149,1046,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Close up your journal for now,,,1
1150,1047,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Testing testing,,,2
1151,1048,TalkBack.Year1.Benson.Spring.011420.xlsx,S,One two three,,,3
1152,1049,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right problem,,,4
1153,1050,TalkBack.Year1.Benson.Spring.011420.xlsx,T,The first problem the pink problem,,,5
1154,1051,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Julie will you read that out loud for me please,Keeping Everyone Together,,6
1155,1052,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Diana has five beets Kennedy has seven times as many beets as Diana,,,7
1156,1053,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How many beets does Kennedy have,,,8
1157,1054,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What do we need to find out,Pressing for Accuracy,Pressing for Accuracy,9
1158,1055,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Leo what do we need to find out,Pressing for Accuracy,Pressing for Accuracy,10
1159,1056,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How many beets Kennedy has,,,11
1160,1057,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What do we know,Pressing for Accuracy,Pressing for Accuracy,12
1161,1058,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What pieces do we know,Pressing for Accuracy,Pressing for Accuracy,13
1162,1059,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Quinn,Keeping Everyone Together,,14
1163,1060,TalkBack.Year1.Benson.Spring.011420.xlsx,S,That Diana has five beets and Kennedy has seven times that,,,15
1164,1061,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How are we going to write a number sentence to show us how to solve that go ahead Kenzie,Pressing for Accuracy,Pressing for Accuracy,16
1165,1062,TalkBack.Year1.Benson.Spring.011420.xlsx,S,5 times 7,,,17
1166,1063,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How many does Kennedy have,Pressing for Accuracy,Pressing for Accuracy,18
1167,1064,TalkBack.Year1.Benson.Spring.011420.xlsx,S,,,,19
1168,1065,TalkBack.Year1.Benson.Spring.011420.xlsx,T,So five represents whose beets,Pressing for Accuracy,Pressing for Accuracy,20
1169,1066,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Seven represents,Pressing for Accuracy,Pressing for Accuracy,21
1170,1067,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Kennedy,,,22
1171,1068,TalkBack.Year1.Benson.Spring.011420.xlsx,S,No the multiple,,,23
1172,1069,TalkBack.Year1.Benson.Spring.011420.xlsx,T,The number of times more beets,Revoicing,Revoicing,24
1173,1070,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What does 35 represent,Pressing for Accuracy,Pressing for Accuracy,25
1174,1071,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Kennedys,,,26
1175,1072,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right,,,27
1176,1073,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Carson will you read the green problem for us please,Keeping Everyone Together,,28
1177,1074,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Ellie has a small ball made of 20 feet of string a large ball of string has 30 times as many feet of string,,,29
1178,1075,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How many feet of string is in the large one,,,30
1179,1076,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What do we need to find out Mason,Pressing for Accuracy,Pressing for Accuracy,31
1180,1077,TalkBack.Year1.Benson.Spring.011420.xlsx,S,We need to find out what 20 times 30 is,,,32
1181,1078,TalkBack.Year1.Benson.Spring.011420.xlsx,T,We need to find out what 20 times 30 is how do you know that,Pressing for Accuracy,Pressing for Reasoning,33
1182,1079,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Because it says 30 so theres 20 feet of string and a large ball of string has 30 times as many,,,34
1183,1080,TalkBack.Year1.Benson.Spring.011420.xlsx,T,So those clue words helped you figure out what you needed to do okay,,,35
1184,1081,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Mason says we need to do 20 times 30,,Revoicing,36
1185,1082,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What does the 20 represent Emery,Pressing for Accuracy,Pressing for Accuracy,37
1186,1083,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Ellies,,,38
1187,1084,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Ellies is it necessarily important that Ellie owns that or are we talking about different sizes,Pressing for Accuracy,Pressing for Reasoning,39
1188,1085,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Different sizes,,,40
1189,1086,TalkBack.Year1.Benson.Spring.011420.xlsx,T,At first I was like Well who has the bigger ball of string,,,41
1190,1087,TalkBack.Year1.Benson.Spring.011420.xlsx,T,It doesnt matter who has it were talking about the size of the ball of string,,,42
1191,1088,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Ellies is what size,Pressing for Accuracy,Pressing for Accuracy,43
1192,1089,TalkBack.Year1.Benson.Spring.011420.xlsx,S,20 feet,,,44
1193,1090,TalkBack.Year1.Benson.Spring.011420.xlsx,T,The smaller one which is 20 feet,Revoicing,Revoicing,45
1194,1091,TalkBack.Year1.Benson.Spring.011420.xlsx,T,A larger one has 30 feet,Keeping Everyone Together,,46
1195,1092,TalkBack.Year1.Benson.Spring.011420.xlsx,S,No 30 times as,,,47
1196,1093,TalkBack.Year1.Benson.Spring.011420.xlsx,T,30 times,Restating,Restating,48
1197,1094,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Mason I agree with you that you would do 20 times 30,,,49
1198,1095,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Anyone add 30,Keeping Everyone Together,Pressing for Accuracy,50
1199,1096,TalkBack.Year1.Benson.Spring.011420.xlsx,T,No,Keeping Everyone Together,,51
1200,1096,TalkBack.Year1.Benson.Spring.011420.xlsx,T,No,Restating,Restating,52
1201,1097,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Awesome,,,53
1202,1098,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What is our answer there,Pressing for Accuracy,Pressing for Accuracy,54
1203,1099,TalkBack.Year1.Benson.Spring.011420.xlsx,S,,,,55
1204,1100,TalkBack.Year1.Benson.Spring.011420.xlsx,T,600,Keeping Everyone Together,,56
1205,1101,TalkBack.Year1.Benson.Spring.011420.xlsx,T,600 represents what,Pressing for Accuracy,Pressing for Accuracy,57
1206,1102,TalkBack.Year1.Benson.Spring.011420.xlsx,S,The larger ball of string,,,58
1207,1103,TalkBack.Year1.Benson.Spring.011420.xlsx,T,More specific please,Pressing for Accuracy,Pressing for Accuracy,59
1208,1104,TalkBack.Year1.Benson.Spring.011420.xlsx,S,30 times,,,60
1209,1105,TalkBack.Year1.Benson.Spring.011420.xlsx,S,30 times as many as the small ball of string,,,61
1210,1106,TalkBack.Year1.Benson.Spring.011420.xlsx,T,600 represents you said the ball of string,,Revoicing,62
1211,1107,TalkBack.Year1.Benson.Spring.011420.xlsx,S,The larger,,,63
1212,1108,TalkBack.Year1.Benson.Spring.011420.xlsx,T,600 ball of string,Keeping Everyone Together,,64
1213,1109,TalkBack.Year1.Benson.Spring.011420.xlsx,S,The larger ball of string,,,65
1214,1110,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Whats our unit of measure,Pressing for Accuracy,Pressing for Accuracy,66
1215,1111,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What are we measuring with,Pressing for Accuracy,Pressing for Accuracy,67
1216,1112,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Feet,,,68
1217,1113,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Feet in the,Pressing for Accuracy,Revoicing,69
1218,1114,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Large ball,,,70
1219,1115,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Thank you 600 feet in the larger ball of string,Revoicing,Revoicing,71
1220,1116,TalkBack.Year1.Benson.Spring.011420.xlsx,T,This one was a little more tricky because it put it in a different order for you it didnt give you the problem to start with it gave you the total to start with,,,72
1221,1117,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Matthew oh sorry Im going to have someone else read it,,,73
1222,1118,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Levi would you be willing to read the blue problem,Keeping Everyone Together,,74
1223,1119,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Matthew and his older brother Jason were eating grapes,,,75
1224,1120,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Jason ate 54 grapes which is 9 times as many as Matthew,,,76
1225,1121,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How many did Matthew eat,,,77
1226,1122,TalkBack.Year1.Benson.Spring.011420.xlsx,T,We know how much Jason ate and that that number is nine times many as Matthew,,Revoicing,78
1227,1123,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Evan talk me through that,Pressing for Accuracy,Pressing for Reasoning,79
1228,1124,TalkBack.Year1.Benson.Spring.011420.xlsx,S,All you have to do is you have to find out how much Matthew ate and how you do that is you do 9 times something equals 54,,,80
1229,1125,TalkBack.Year1.Benson.Spring.011420.xlsx,T,So our unknown is how many Matthew ate because it tells us how much Jason ate and that that is equal to nine times something,Revoicing,Revoicing,81
1230,1126,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Did anyone do it in a different order,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,82
1231,1127,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Bryson how did you do yours,Pressing for Accuracy,Pressing for Reasoning,83
1232,1128,TalkBack.Year1.Benson.Spring.011420.xlsx,S,549,,,84
1233,1129,TalkBack.Year1.Benson.Spring.011420.xlsx,T,You did a division problem,Keeping Everyone Together,Revoicing,85
1234,1130,TalkBack.Year1.Benson.Spring.011420.xlsx,T,You just worked it backwards we know the opposite function of multiplication is division which is basically saying this what number times 9 will give me 54,,Revoicing,86
1235,1131,TalkBack.Year1.Benson.Spring.011420.xlsx,T,If you know your multiplication facts you know that 6 times 9 equals 54,,,87
1236,1132,TalkBack.Year1.Benson.Spring.011420.xlsx,T,So how many did Matthew eat,Pressing for Accuracy,Pressing for Accuracy,88
1237,1133,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Six,,,89
1238,1134,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Six what,Pressing for Accuracy,Pressing for Accuracy,90
1239,1135,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Grapes,,,91
1240,1136,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Next part,,,92
1241,1137,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Ratica ate 13 of a small peach tart did anyone draw pictures for this,Keeping Everyone Together,Pressing for Reasoning,93
1242,1138,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Nobody drew pictures to help them view it,Keeping Everyone Together,,94
1243,1139,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay,,,95
1251,1140,TalkBack.Year1.Benson.Spring.011420.xlsx,T,For me its much easier to draw pictures remember that 13 looks like a peace sign when we do it as a circle,,,96
1252,1141,TalkBack.Year1.Benson.Spring.011420.xlsx,T,If Ratica ate 13 of a peach tart and Brianna ate 13 of another peach tart with the same size I need to draw another peach tart and Brianna ate 13,,,97
1253,1142,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How much did the girls eat together,Pressing for Accuracy,Pressing for Accuracy,98
1254,1143,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Two,,,99
1255,1144,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Miles what did you say,Keeping Everyone Together,Keeping Everyone Together,100
1256,1145,TalkBack.Year1.Benson.Spring.011420.xlsx,S,I thought the girls ate together was 23 because the bottom numbers stay the same but you add the two top numbers,,,101
1257,1146,TalkBack.Year1.Benson.Spring.011420.xlsx,T,So you said that together they ate 23 because each of them ate Participate with me please come on,Revoicing,Revoicing,102
1258,1147,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Each of them ate 13 so you added them together,,Revoicing,103
1259,1148,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Can anyone else explain that in a different way,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,104
1260,1149,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Mason,Keeping Everyone Together,,105
1261,1150,TalkBack.Year1.Benson.Spring.011420.xlsx,S,I also  they ate together so it says that Brianna ate 13 of another peach tart so its 2 peach tarts in total,,,106
1262,1151,TalkBack.Year1.Benson.Spring.011420.xlsx,S,What they did is they ate one of the 13 from one and then they ate another 13 from another so 23,,,107
1263,1152,TalkBack.Year1.Benson.Spring.011420.xlsx,T,You did the same math basically but thought of it as 13 of one peach tart and 13 of another peach tart,Revoicing,Revoicing,108
1264,1153,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Did anyone happen to view 26 as their answer,Keeping Everyone Together,Pressing for Accuracy,109
1265,1154,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay if you did 26 I want you to think about that for a minute,,,110
1266,1155,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What does the bottom number of a fraction mean,Pressing for Accuracy,Pressing for Accuracy,111
1267,1156,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Liam,Keeping Everyone Together,,112
1268,1157,TalkBack.Year1.Benson.Spring.011420.xlsx,S,What the whole is,,,113
1269,1158,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What the whole is So you think that the bottom number shows you how many are in the whole,Keeping Everyone Together,Revoicing,114
1270,1159,TalkBack.Year1.Benson.Spring.011420.xlsx,S,It shows you how many,,,115
1271,1160,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay add on to that or help clarify that a little bit Wes,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,116
1272,1161,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How many pieces there are,,,117
1273,1162,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How many pieces there are total in that whole thing thats being split up,Revoicing,Revoicing,118
1274,1163,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Our bottom number should tell us how many total pieces there are in the whole,,Revoicing,119
1275,1164,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Leo I have a question for you,,,120
1276,1165,TalkBack.Year1.Benson.Spring.011420.xlsx,S,What,,,121
1277,1166,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Were there six pieces in the whole,Keeping Everyone Together,Pressing for Accuracy,122
1278,1167,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How do we know there werent six pieces in the whole,Pressing for Accuracy,Pressing for Reasoning,123
1279,1168,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Because they ate what,Pressing for Accuracy,Pressing for Accuracy,124
1280,1169,TalkBack.Year1.Benson.Spring.011420.xlsx,S,13,,,125
1281,1170,TalkBack.Year1.Benson.Spring.011420.xlsx,T,13 that bottom number tells us how many total pieces there are in the whole,Revoicing,Revoicing,126
1282,1171,TalkBack.Year1.Benson.Spring.011420.xlsx,T,This is Raticas whole this is Briannas whole there were two separate wholes that we were talking about but Ratica ate her part of her whole Brianna ate her part of her whole but together they ate this much,,,127
1283,1172,TalkBack.Year1.Benson.Spring.011420.xlsx,T,We have to ask ourselves how many total pieces were there in the whole,Pressing for Accuracy,Pressing for Accuracy,128
1284,1173,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Raticas had three Briannas had three,,,129
1285,1174,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Thats why we dont switch it to become six does that makes sense to you,Keeping Everyone Together,Keeping Everyone Together,130
1286,1175,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Declan does that make sense to you,Keeping Everyone Together,Keeping Everyone Together,131
1287,1176,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay,,,132
1295,1177,TalkBack.Year1.Benson.Spring.011420.xlsx,T,I have another question wait a second,,,133
1296,1178,TalkBack.Year1.Benson.Spring.011420.xlsx,T,I have another question,,,134
1297,1179,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Lets pretend that Briannas tart is much larger,,,135
1298,1180,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Raticas tart is about as big as your hands you can go it together in a circle and lets say that Briannas tart is as big as your arms can go in a circle,,,136
1299,1181,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Yes,,,137
1300,1182,TalkBack.Year1.Benson.Spring.011420.xlsx,T,The hands versus arms,,,138
1301,1183,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What the total amount of what they ate,Pressing for Accuracy,Pressing for Accuracy,139
1302,1184,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Would our answers still be the same if they ate 23,Keeping Everyone Together,Pressing for Reasoning,140
1303,1185,TalkBack.Year1.Benson.Spring.011420.xlsx,S,I would give the one for you like,,,141
1304,1186,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Brandon I see you shaking your head how come,Pressing for Reasoning,Pressing for Reasoning,142
1305,1187,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Because if theyre human size you cant compete with them because the,,,143
1306,1188,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay,,,144
1314,1189,TalkBack.Year1.Benson.Spring.011420.xlsx,T,If I said a 14 of my class is going on a field trip and then we compare that to 14 of a class that has 10 kids would it be the same number of kids going on a field trip,Keeping Everyone Together,Pressing for Reasoning,145
1315,1190,TalkBack.Year1.Benson.Spring.011420.xlsx,S,No,,,146
1316,1191,TalkBack.Year1.Benson.Spring.011420.xlsx,T,No,Keeping Everyone Together,,147
1317,1191,TalkBack.Year1.Benson.Spring.011420.xlsx,T,No,Restating,Restating,148
1318,1192,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Our wholes have to be the same if were going to compare them like that okay,Keeping Everyone Together,,149
1319,1193,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Nice job explaining that,,,150
1320,1194,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right lets look at our math Journal pages come on come one,,,151
1321,1195,TalkBack.Year1.Benson.Spring.011420.xlsx,T,It is page 159,,,152
1322,1196,TalkBack.Year1.Benson.Spring.011420.xlsx,T,,,,153
1323,1197,TalkBack.Year1.Benson.Spring.011420.xlsx,S,What page,,,154
1324,1198,TalkBack.Year1.Benson.Spring.011420.xlsx,T,,,,155
1325,1199,TalkBack.Year1.Benson.Spring.011420.xlsx,T,These are those numbers  but we have to really accurately read to help us understand,,,156
1326,1200,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Were just going to cut and break down what each problem says then you guys work on fully,,,157
1327,1201,TalkBack.Year1.Benson.Spring.011420.xlsx,T,For number one Michael will you read us the problem for number one,Keeping Everyone Together,,158
1328,1202,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Yes,,,159
1329,1203,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay were going to visualize Ryan and his three sisters how many people are working,Pressing for Accuracy,Pressing for Accuracy,160
1330,1204,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Four,,,161
1331,1205,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Four people because its Ryan and his three sisters,Revoicing,Revoicing,162
1332,1206,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Four people are working,,Revoicing,163
1333,1207,TalkBack.Year1.Benson.Spring.011420.xlsx,T,They are working to paint,,,164
1334,1208,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Ryan has his bucket of paint and he is going to use how much of his paint,Pressing for Accuracy,Pressing for Accuracy,165
1335,1209,TalkBack.Year1.Benson.Spring.011420.xlsx,S,23,,,166
1336,1210,TalkBack.Year1.Benson.Spring.011420.xlsx,T,23 each so theres one of their problem the 23 then each of his sisters so theres three more people,Revoicing,Revoicing,167
1337,1211,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Theyre each going to use 13 of their cans,,,168
1338,1212,TalkBack.Year1.Benson.Spring.011420.xlsx,T,These cans are all the same size so we know were not comparing cans to cans,,,169
1339,1213,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Were trying to figure out how much they used altogether,,,170
1340,1214,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What is the whole thing that were working with,Pressing for Accuracy,Pressing for Accuracy,171
1341,1215,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What are we breaking into whole Declan,Pressing for Accuracy,Pressing for Accuracy,172
1342,1216,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Well the whole thing is cut into third but what is the third Leo,Pressing for Accuracy,Pressing for Accuracy,173
1343,1217,TalkBack.Year1.Benson.Spring.011420.xlsx,S,A can of paint,,,174
1344,1218,TalkBack.Year1.Benson.Spring.011420.xlsx,T,A can of paint okay so your whole is a can of paint,Revoicing,Revoicing,175
1345,1219,TalkBack.Year1.Benson.Spring.011420.xlsx,T,You have room to draw if you want to you have room to just write number models if you want to,,,176
1346,1220,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Can you please talk through how we know what were going to put in our number model,Pressing for Accuracy,Pressing for Reasoning,177
1347,1221,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What are we going to add together in our number model,Pressing for Accuracy,Pressing for Accuracy,178
1348,1222,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Xander what things do you think you are going to add in your number model,Pressing for Accuracy,Pressing for Accuracy,179
1349,1223,TalkBack.Year1.Benson.Spring.011420.xlsx,S,I think Im going to add 23  13  13  13,,,180
1350,1224,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right can you please tell me what 23 represents,Pressing for Accuracy,Pressing for Accuracy,181
1351,1225,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How much paint he used,,,182
1352,1226,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay thats Ryans can of paint that he used,Revoicing,Revoicing,183
1353,1227,TalkBack.Year1.Benson.Spring.011420.xlsx,T,He used 23 of it and what is each of these 13 represents,Pressing for Accuracy,Pressing for Accuracy,184
1354,1228,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How much his sisters used,,,185
1355,1229,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Sister one sister two and sister three thank you,,Revoicing,186
1356,1230,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Is your number going to be an improper fraction,Keeping Everyone Together,Pressing for Accuracy,187
1357,1231,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What does an improper fraction mean Esther,Pressing for Accuracy,Pressing for Accuracy,188
1358,1232,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Its  over the whole but its more,,,189
1359,1233,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Its more than a whole right,Keeping Everyone Together,Revoicing,190
1360,1234,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Our top number our numerator will be larger than our denominator which means thats more than one whole,,Revoicing,191
1361,1235,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Like 65,,,192
1362,1236,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Feel free to draw feel free to figure out both in improper fraction and mixed number fraction if you want to,,,193
1363,1237,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Everyone understand how to get to where you need to be on that one,Keeping Everyone Together,,194
1364,1238,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Yes,,,195
1365,1239,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Because Im going to erase that,,,196
1366,1240,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Are you good,Keeping Everyone Together,,197
1367,1241,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Yes,,,198
1368,1242,TalkBack.Year1.Benson.Spring.011420.xlsx,T,All right let me just get this for our problem number two,,,199
1369,1243,TalkBack.Year1.Benson.Spring.011420.xlsx,T,This persons name is Charice Emery would you please read that aloud to us,Keeping Everyone Together,Keeping Everyone Together,200
1370,1244,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Her name is Charice,,,201
1371,1245,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Ally and Charice both want to stay in shape,,,202
1372,1246,TalkBack.Year1.Benson.Spring.011420.xlsx,S,On Saturday Ally ran 38 of a mile more than Charice Charice ran 78 of a mile,,,203
1373,1247,TalkBack.Year1.Benson.Spring.011420.xlsx,S,How far has Ally run,,,204
1374,1248,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay we need to really dissect what we know,,,205
1375,1249,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How far did Charice ran,Pressing for Accuracy,Pressing for Accuracy,206
1376,1250,TalkBack.Year1.Benson.Spring.011420.xlsx,S,78,,,207
1377,1251,TalkBack.Year1.Benson.Spring.011420.xlsx,T,78 right,Keeping Everyone Together,,208
1378,1252,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Charice ran 78 of a mile,,Revoicing,209
1379,1253,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What do we have to find out,Pressing for Accuracy,Pressing for Accuracy,210
1380,1254,TalkBack.Year1.Benson.Spring.011420.xlsx,T,We needed to find out how much Ally ran right Eric,Keeping Everyone Together,,211
1381,1255,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Yes,,,212
1382,1256,TalkBack.Year1.Benson.Spring.011420.xlsx,T,How do we find that out,Pressing for Accuracy,Pressing for Reasoning,213
1383,1257,TalkBack.Year1.Benson.Spring.011420.xlsx,T,What information did they give us Felicity to help us figure that out,Pressing for Reasoning,Pressing for Reasoning,214
1384,1258,TalkBack.Year1.Benson.Spring.011420.xlsx,S,Ally and Charice both run to stay shape,,,215
1385,1259,TalkBack.Year1.Benson.Spring.011420.xlsx,S,On Saturday Ally ran 38 and,,,216
1386,1260,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Read that carefully students,Keeping Everyone Together,Keeping Everyone Together,217
1387,1261,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Just recreate she ran 38,Pressing for Accuracy,,218
1388,1262,TalkBack.Year1.Benson.Spring.011420.xlsx,S,of a mile more than Charice,,,219
1389,1263,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Okay we know how far has Charice ran we know that Ally ran 38 more than her,,Revoicing,220
1390,1264,TalkBack.Year1.Benson.Spring.011420.xlsx,T,Will we be adding or subtracting,Pressing for Accuracy,Pressing for Accuracy,221
